complaint_id,month,complaint_date,customer_id,sku,complaint_type,severity,description,resolved,resolution_days,satisfaction,handler
COMP0001,2025-06,2025-06-24,CUST0101,FWD508WR,交期延误,高,交期延误相关问题，需要跟进处理,True,3,3.1,客服-02
COMP0002,2025-08,2025-08-09,CUST0025,FWD7504,错误发货,紧急,包装破损相关问题，需要跟进处理,True,22,3.9,客服-03
COMP0003,2025-10,2025-10-26,CUST0291,FWD522,价格争议,紧急,交期延误相关问题，需要跟进处理,False,19,4.5,客服-03
COMP0004,2025-10,2025-10-24,CUST0120,BHC9326BM ,质量问题,中,服务态度相关问题，需要跟进处理,True,12,4.8,客服-02
COMP0005,2025-06,2025-06-02,CUST0207,FWD6205,交期延误,中,价格争议相关问题，需要跟进处理,True,30,4.5,客服-01
COMP0006,2025-11,2025-11-17,CUST0213,FWD219WR,服务态度,高,质量问题相关问题，需要跟进处理,True,16,2.7,客服-02
COMP0007,2025-07,2025-07-20,CUST0167,FWD205M,价格争议,中,质量问题相关问题，需要跟进处理,True,24,3.6,客服-02
COMP0008,2025-10,2025-10-05,CUST0175,BHC9232MGH,交期延误,低,错误发货相关问题，需要跟进处理,True,10,1.1,客服-03
COMP0009,2025-03,2025-03-16,CUST0178,FWDV220,错误发货,低,交期延误相关问题，需要跟进处理,True,16,1.5,客服-02
COMP0010,2025-09,2025-09-17,CUST0126,FWD524,错误发货,紧急,错误发货相关问题，需要跟进处理,True,24,2.3,客服-02
COMP0011,2025-02,2025-02-28,CUST0017,FWD417,质量问题,低,交期延误相关问题，需要跟进处理,True,4,3.8,客服-02
COMP0012,2025-03,2025-03-19,CUST0039,FWD407,交期延误,高,质量问题相关问题，需要跟进处理,True,25,1.7,客服-02
COMP0013,2025-02,2025-02-05,CUST0156,FWD524,包装破损,高,质量问题相关问题，需要跟进处理,True,3,4.5,客服-01
COMP0014,2025-06,2025-06-02,CUST0264,FWD353,包装破损,低,价格争议相关问题，需要跟进处理,True,25,4.8,客服-03
COMP0015,2025-02,2025-02-07,CUST0299,FWD6003,交期延误,高,包装破损相关问题，需要跟进处理,True,22,2.6,客服-02
COMP0016,2025-09,2025-09-05,CUST0098,FWDV080B,包装破损,中,服务态度相关问题，需要跟进处理,True,25,4.7,客服-02
COMP0017,2025-08,2025-08-22,CUST0161,BHC9237GRH,错误发货,中,包装破损相关问题，需要跟进处理,False,13,1.3,客服-02
COMP0018,2025-08,2025-08-12,CUST0124,FWD6820,错误发货,中,交期延误相关问题，需要跟进处理,True,20,1.6,客服-02
COMP0019,2025-10,2025-10-07,CUST0281,FWD5518,服务态度,中,错误发货相关问题，需要跟进处理,True,24,1.4,客服-03
COMP0020,2025-11,2025-11-23,CUST0102,FWD6810,服务态度,中,价格争议相关问题，需要跟进处理,True,26,3.9,客服-02
COMP0021,2025-06,2025-06-23,CUST0166,FWD6840,包装破损,紧急,价格争议相关问题，需要跟进处理,False,11,4.5,客服-02
COMP0022,2024-11,2024-11-04,CUST0288,FWD5893,包装破损,中,质量问题相关问题，需要跟进处理,True,19,1.7,客服-03
COMP0023,2025-06,2025-06-23,CUST0083,FWD122,质量问题,高,错误发货相关问题，需要跟进处理,True,15,3.6,客服-02
COMP0024,2025-03,2025-03-03,CUST0150,FWDD23L,错误发货,高,服务态度相关问题，需要跟进处理,True,17,1.7,客服-03
COMP0025,2025-08,2025-08-02,CUST0036,FWD6002A,交期延误,紧急,交期延误相关问题，需要跟进处理,True,29,1.9,客服-02
COMP0026,2025-10,2025-10-23,CUST0042,FWD5518WR,包装破损,高,错误发货相关问题，需要跟进处理,False,5,1.2,客服-01
COMP0027,2024-12,2024-12-03,CUST0193,FWDD29M,交期延误,高,包装破损相关问题，需要跟进处理,True,15,4.6,客服-02
COMP0028,2025-01,2025-01-26,CUST0008,FWD402,价格争议,低,错误发货相关问题，需要跟进处理,True,30,2.4,客服-02
COMP0029,2025-10,2025-10-21,CUST0233,FWD5894,包装破损,中,服务态度相关问题，需要跟进处理,True,16,4.5,客服-03
COMP0030,2025-04,2025-04-26,CUST0168,FWD001,质量问题,高,价格争议相关问题，需要跟进处理,True,27,3.4,客服-02
COMP0031,2025-05,2025-05-22,CUST0187,FWD6504A,质量问题,高,价格争议相关问题，需要跟进处理,True,21,1.8,客服-03
COMP0032,2025-11,2025-11-01,CUST0243,FWD221,包装破损,低,质量问题相关问题，需要跟进处理,True,30,3.2,客服-02
COMP0033,2025-07,2025-07-25,CUST0205,FWD299,价格争议,紧急,服务态度相关问题，需要跟进处理,True,18,2.9,客服-02
COMP0034,2024-10,2024-10-16,CUST0083,FWD303WR,价格争议,低,包装破损相关问题，需要跟进处理,False,30,2.6,客服-03
COMP0035,2025-10,2025-10-12,CUST0041,FWD508WR,价格争议,低,质量问题相关问题，需要跟进处理,True,12,3.9,客服-02
COMP0036,2025-03,2025-03-14,CUST0196,FWD5519,包装破损,低,包装破损相关问题，需要跟进处理,False,22,4.5,客服-03
COMP0037,2025-04,2025-04-14,CUST0012,FWD3302,服务态度,高,错误发货相关问题，需要跟进处理,True,13,2.7,客服-02
COMP0038,2025-09,2025-09-26,CUST0266,FWD217,交期延误,低,质量问题相关问题，需要跟进处理,True,28,1.4,客服-01
COMP0039,2025-09,2025-09-28,CUST0069,FWD6501,错误发货,中,服务态度相关问题，需要跟进处理,True,9,2.6,客服-02
COMP0040,2025-06,2025-06-17,CUST0231,FWD7352,交期延误,中,价格争议相关问题，需要跟进处理,False,16,4.8,客服-01
COMP0041,2025-02,2025-02-02,CUST0085,FWD5893,包装破损,低,质量问题相关问题，需要跟进处理,True,10,3.8,客服-03
COMP0042,2025-07,2025-07-11,CUST0052,FWD323WR,服务态度,高,服务态度相关问题，需要跟进处理,True,28,2.3,客服-03
COMP0043,2025-06,2025-06-09,CUST0039,FWD5800D,价格争议,中,服务态度相关问题，需要跟进处理,True,5,2.6,客服-02
COMP0044,2024-10,2024-10-03,CUST0148,BHC9235BVH,服务态度,高,包装破损相关问题，需要跟进处理,True,8,5.0,客服-02
COMP0045,2025-01,2025-01-26,CUST0091,FWD401,包装破损,高,服务态度相关问题，需要跟进处理,True,29,1.0,客服-03
COMP0046,2025-05,2025-05-05,CUST0215,FWD5519WR,价格争议,紧急,服务态度相关问题，需要跟进处理,True,3,2.0,客服-01
COMP0047,2025-07,2025-07-02,CUST0187,FWD361,错误发货,高,服务态度相关问题，需要跟进处理,True,17,4.6,客服-01
COMP0048,2025-01,2025-01-05,CUST0145,FWD306,质量问题,高,质量问题相关问题，需要跟进处理,True,6,5.0,客服-01
COMP0049,2025-10,2025-10-15,CUST0043,FWD235,价格争议,中,错误发货相关问题，需要跟进处理,True,13,1.8,客服-03
COMP0050,2025-11,2025-11-10,CUST0290,FWDV150B,服务态度,中,错误发货相关问题，需要跟进处理,True,30,2.5,客服-02
COMP0051,2025-05,2025-05-14,CUST0170,FWD5870A,质量问题,低,价格争议相关问题，需要跟进处理,True,16,1.6,客服-02
COMP0052,2025-10,2025-10-16,CUST0197,FWD6018,价格争议,紧急,服务态度相关问题，需要跟进处理,True,25,3.1,客服-02
COMP0053,2025-07,2025-07-27,CUST0136,BHC9225BMTH,包装破损,紧急,错误发货相关问题，需要跟进处理,True,23,3.1,客服-02
COMP0054,2024-12,2024-12-16,CUST0042,FWDD27M,包装破损,中,价格争议相关问题，需要跟进处理,False,19,4.0,客服-01
COMP0055,2025-05,2025-05-24,CUST0074,FWD235WR,质量问题,紧急,错误发货相关问题，需要跟进处理,True,25,1.5,客服-03
COMP0056,2025-11,2025-11-26,CUST0156,FWD534,错误发货,紧急,服务态度相关问题，需要跟进处理,True,12,3.9,客服-02
COMP0057,2025-08,2025-08-21,CUST0296,FWD7305WR,包装破损,低,服务态度相关问题，需要跟进处理,True,21,1.4,客服-02
COMP0058,2025-07,2025-07-24,CUST0085,FWDD10Y,包装破损,紧急,质量问题相关问题，需要跟进处理,True,28,1.2,客服-03
COMP0059,2024-12,2024-12-07,CUST0114,FWD6163,交期延误,中,服务态度相关问题，需要跟进处理,True,2,1.1,客服-02
COMP0060,2025-07,2025-07-17,CUST0054,FWD411,质量问题,低,质量问题相关问题，需要跟进处理,True,30,1.1,客服-03
COMP0061,2025-01,2025-01-06,CUST0020,FWD5519,服务态度,低,错误发货相关问题，需要跟进处理,False,6,4.6,客服-03
COMP0062,2025-07,2025-07-02,CUST0171,FWD435,交期延误,紧急,包装破损相关问题，需要跟进处理,True,23,3.2,客服-02
COMP0063,2024-11,2024-11-08,CUST0136,FWD8205WR,价格争议,低,交期延误相关问题，需要跟进处理,True,2,4.7,客服-02
COMP0064,2024-12,2024-12-03,CUST0096,FWD5891,交期延误,高,包装破损相关问题，需要跟进处理,True,2,3.7,客服-03
COMP0065,2024-10,2024-10-06,CUST0096,FWD5874A,包装破损,紧急,交期延误相关问题，需要跟进处理,True,10,4.6,客服-01
COMP0066,2025-02,2025-02-28,CUST0091,FWD201WR,交期延误,高,质量问题相关问题，需要跟进处理,True,12,3.3,客服-03
COMP0067,2025-01,2025-01-21,CUST0234,FWD6001,价格争议,低,质量问题相关问题，需要跟进处理,False,23,4.4,客服-01
COMP0068,2025-08,2025-08-07,CUST0052,FWD120,价格争议,高,错误发货相关问题，需要跟进处理,True,3,3.1,客服-02
COMP0069,2025-07,2025-07-20,CUST0028,FWD525WR,交期延误,低,服务态度相关问题，需要跟进处理,True,17,4.9,客服-01
COMP0070,2025-06,2025-06-02,CUST0254,FWD6163,交期延误,紧急,质量问题相关问题，需要跟进处理,True,15,2.9,客服-03
COMP0071,2024-12,2024-12-09,CUST0041,FWDV020,错误发货,高,交期延误相关问题，需要跟进处理,True,20,4.7,客服-03
COMP0072,2025-11,2025-11-24,CUST0058,FWD402,服务态度,紧急,服务态度相关问题，需要跟进处理,True,24,3.4,客服-03
COMP0073,2025-05,2025-05-27,CUST0107,FWD505,服务态度,紧急,错误发货相关问题，需要跟进处理,False,17,3.2,客服-01
COMP0074,2025-01,2025-01-02,CUST0005,FWD522,服务态度,中,包装破损相关问题，需要跟进处理,True,9,2.8,客服-01
COMP0075,2025-02,2025-02-19,CUST0120,FWD6003T,错误发货,紧急,交期延误相关问题，需要跟进处理,True,11,2.7,客服-02
COMP0076,2025-05,2025-05-04,CUST0231,FWD120,质量问题,中,交期延误相关问题，需要跟进处理,True,7,2.5,客服-03
COMP0077,2025-03,2025-03-04,CUST0300,FWD6502,错误发货,低,错误发货相关问题，需要跟进处理,True,8,4.7,客服-02
COMP0078,2025-06,2025-06-15,CUST0048,FWD301,错误发货,紧急,错误发货相关问题，需要跟进处理,True,21,1.5,客服-03
COMP0079,2025-02,2025-02-10,CUST0050,FWD6303,价格争议,紧急,错误发货相关问题，需要跟进处理,True,21,4.9,客服-02
COMP0080,2025-03,2025-03-06,CUST0157,FWD416,错误发货,高,包装破损相关问题，需要跟进处理,True,1,2.2,客服-02
COMP0081,2025-10,2025-10-07,CUST0098,FWDD28X,交期延误,紧急,交期延误相关问题，需要跟进处理,True,28,3.7,客服-03
COMP0082,2025-10,2025-10-17,CUST0024,FWD3112,错误发货,高,价格争议相关问题，需要跟进处理,False,28,3.1,客服-01
COMP0083,2025-06,2025-06-01,CUST0132,HC010AS,交期延误,中,交期延误相关问题，需要跟进处理,True,14,4.6,客服-01
COMP0084,2025-03,2025-03-14,CUST0262,FWD552,包装破损,低,错误发货相关问题，需要跟进处理,True,29,4.4,客服-03
COMP0085,2024-11,2024-11-28,CUST0053,FWDV095,服务态度,中,价格争议相关问题，需要跟进处理,True,17,1.6,客服-02
COMP0086,2025-02,2025-02-24,CUST0184,BHC9337GP,质量问题,低,错误发货相关问题，需要跟进处理,True,17,3.5,客服-03
COMP0087,2025-03,2025-03-18,CUST0180,FWD215,价格争议,低,质量问题相关问题，需要跟进处理,True,11,2.6,客服-02
COMP0088,2025-08,2025-08-02,CUST0007,FWD410,错误发货,紧急,错误发货相关问题，需要跟进处理,True,7,2.1,客服-03
COMP0089,2025-06,2025-06-28,CUST0220,FWD303,服务态度,高,服务态度相关问题，需要跟进处理,True,7,3.4,客服-03
COMP0090,2024-10,2024-10-13,CUST0163,FWDD29X,质量问题,紧急,错误发货相关问题，需要跟进处理,True,22,2.1,客服-03
COMP0091,2025-10,2025-10-11,CUST0219,FWD6002AWR,包装破损,高,服务态度相关问题，需要跟进处理,True,8,1.6,客服-03
COMP0092,2025-09,2025-09-16,CUST0020,FWD509,错误发货,高,价格争议相关问题，需要跟进处理,True,22,1.0,客服-02
COMP0093,2025-07,2025-07-13,CUST0168,FWDV150B,交期延误,低,质量问题相关问题，需要跟进处理,True,30,2.2,客服-01
COMP0094,2025-01,2025-01-14,CUST0239,FWD5519WR,交期延误,紧急,错误发货相关问题，需要跟进处理,True,5,4.2,客服-03
COMP0095,2025-07,2025-07-18,CUST0096,FWD300WR,服务态度,高,服务态度相关问题，需要跟进处理,True,14,1.2,客服-01
