campaign_id,campaign_name,channel,promo_type,start_date,end_date,budget_rmb,actual_spend_rmb,target_category,status,created_by
CAMP0001,捆绑活动_0001,线下门店,买赠,2025-08-01,2025-08-15,9877.1,6617.66,金属彩光系列,计划中,张伟
CAMP0002,折扣活动_0002,线下门店,买赠,2025-07-01,2025-08-04,11197.62,9517.98,金色系列,计划中,李娜
CAMP0003,满减活动_0003,线下门店,满减,2025-09-01,2025-10-19,141758.37,126164.95,金色系列,已完成,刘洋
CAMP0004,捆绑活动_0004,电商平台,折扣,2025-03-01,2025-03-25,35318.5,27901.62,云母粉,已完成,王芳
CAMP0005,新品推广活动_0005,电商平台,满减,2025-10-01,2025-10-10,147297.7,94270.53,水晶系列,计划中,王芳
CAMP0006,折扣活动_0006,线下门店,捆绑,2025-07-01,2025-07-20,142391.51,155206.75,着色系列,已完成,刘洋
CAMP0007,捆绑活动_0007,线下门店,捆绑,2025-02-01,2025-03-09,128958.47,100587.61,玻璃变色龙,已完成,李娜
CAMP0008,满减活动_0008,直销,捆绑,2025-06-01,2025-07-24,52738.13,57484.56,着色系列,已完成,张伟
CAMP0009,捆绑活动_0009,直销,捆绑,2025-01-01,2025-03-01,11259.55,7093.52,化妆品系列,已完成,刘洋
CAMP0010,捆绑活动_0010,线下门店,买赠,2025-04-01,2025-05-19,94476.11,91641.83,玻璃变色龙,计划中,刘洋
CAMP0011,买赠活动_0011,展会,满减,2025-07-01,2025-08-02,75589.31,49133.05,磁性珠光,已完成,李娜
CAMP0012,满减活动_0012,展会,折扣,2025-08-01,2025-08-18,159455.48,125969.83,着色变色龙,计划中,王芳
CAMP0013,折扣活动_0013,展会,捆绑,2025-06-01,2025-06-08,137655.27,134902.16,化妆品系列,已完成,王芳
CAMP0014,捆绑活动_0014,展会,买赠,2025-04-01,2025-04-18,93476.12,79454.7,金属彩光系列,已完成,李娜
CAMP0015,新品推广活动_0015,展会,折扣,2024-12-01,2024-12-31,153689.61,138320.65,玻璃包银系列,已完成,张伟
CAMP0016,买赠活动_0016,电商平台,买赠,2025-03-01,2025-04-30,162321.09,168813.93,其他,已完成,刘洋
CAMP0017,新品推广活动_0017,线下门店,买赠,2025-11-01,2025-11-12,195706.98,182007.49,钻石系列,已完成,刘洋
CAMP0018,买赠活动_0018,经销商,满减,2025-01-01,2025-02-11,152276.71,167504.38,云母粉,进行中,刘洋
